x,y,source
9.927856,3.5867114,natural
15.1296625,1.8187315,natural
1.713823,-0.7561825,natural
2.8370633,-4.6754274,natural
10.155707,1.1982102,natural
15.964077,2.1911688,natural
9.122567,-1.8380382,natural
4.7312064,-2.2537973,natural
3.9361997,-3.9848297,natural
5.672281,-2.3515358,natural
12.89069,1.5764141,natural
12.745256,-0.11560633,natural
0.8562057,-3.1123936,natural
14.87068,3.5087388,natural
11.318236,2.7878225,natural
14.9619055,-0.32768092,natural
5.6662354,-2.1901345,natural
-1.4399335,3.5946298,natural
6.109265,-1.6343712,natural
5.640087,-2.1380723,natural
6.9846334,-2.2860518,natural
4.8462977,-2.6575787,natural
12.555264,0.81208354,natural
3.6022213,-3.6963716,natural
6.424539,-2.1177719,natural
15.075764,-1.7817131,natural
13.159277,-0.49058723,natural
11.622015,2.2118459,natural
13.991038,3.850326,natural
8.785388,-0.9009638,natural
11.467498,7.760517,natural
10.698386,0.37301418,natural
13.12596,-0.44829977,natural
12.8549385,3.2192774,natural
13.738585,5.7075744,natural
4.487294,-3.9380481,natural
5.2957215,-1.2433997,natural
14.341519,1.3690823,natural
-0.8505009,3.585012,natural
-1.582481,3.786744,natural
15.8100815,3.6477637,natural
-3.0045857,3.4932745,natural
9.612218,5.078268,natural
16.991991,0.11309412,natural
-3.5769422,2.9288692,natural
2.2705197,0.22702594,natural
4.055426,-2.763487,natural
9.715064,6.601534,natural
13.577621,0.43341565,natural
14.52027,1.1909673,natural
3.6406481,-1.0431035,natural
15.1198,4.1697083,natural
13.370188,3.7592988,natural
12.293639,2.5094466,natural
12.592663,3.436274,natural
2.7026238,-3.2559576,natural
-0.93107086,3.5970697,natural
3.3442497,-2.379859,natural
-3.533374,2.9636097,natural
12.901261,0.8063137,natural
1.5108734,-0.04617349,natural
12.843454,4.575796,natural
15.895651,3.2808697,natural
12.029087,-1.4736632,natural
1.5736655,-0.1193793,natural
7.22321,-1.7184408,natural
14.783384,5.0005436,natural
7.0182633,-1.4289973,natural
13.202163,2.602991,natural
2.6610067,-0.48387656,natural
2.2867663,-3.8556943,natural
5.09896,-3.3039591,natural
11.690328,5.8611245,natural
11.859275,5.1193085,natural
4.9766493,-2.3706002,natural
11.981957,4.690151,natural
15.957087,2.0650487,natural
15.060063,0.13066426,natural
6.0317044,-3.3425152,natural
4.6263165,-3.3005345,natural
12.532304,2.662038,natural
2.2759771,-0.65086126,natural
2.1878219,-2.7861786,natural
2.6983392,-3.8821285,natural
5.9943457,-3.0611134,natural
